"T1e" "T2e" "T3e" "T4e" "T5e" "T6e" "T1V" "T2V" "T3V" "T4V" "T5V" "T6V"
"1" 1100 1075 1015 895 895 895 125 225 575 0 0 0
"2" 895 895 895 895 895 895 0 0 0 0 0 0
"3" 1060 985 900 895 895 895 1275 1425 1750 0 0 0
"4" 1040 895 895 895 895 895 275 0 0 0 0 0
"5" 965 940 895 895 895 895 25 325 0 0 0 0
"6" 1040 895 895 895 895 895 225 0 0 0 0 0
"7" 1100 1025 905 895 895 895 1550 1725 2400 0 0 0
"8" 1060 895 895 895 895 895 725 0 0 0 0 0
"9" 1075 895 895 895 895 895 675 0 0 0 0 0
"10" 1030 895 895 895 895 895 375 0 0 0 0 0
"11" 1035 895 895 895 895 895 975 0 0 0 0 0
"12" 1100 1020 895 895 895 895 125 150 0 0 0 0
"13" 995 895 895 895 895 895 575 0 0 0 0 0
"14" 1060 895 895 895 895 895 375 0 0 0 0 0
"15" 935 895 895 895 895 895 425 0 0 0 0 0
"16" 1035 975 915 905 895 895 975 1050 1325 1475 0 0
"17" 1040 895 895 895 895 895 475 0 0 0 0 0
"18" 1080 910 905 900 895 895 925 1000 1025 1775 0 0
"19" 1045 895 895 895 895 895 525 0 0 0 0 0
"20" 1020 910 905 895 895 895 2000 2200 2325 0 0 0
"21" 1070 895 895 895 895 895 625 0 0 0 0 0
"22" 1040 900 895 895 895 895 875 1050 0 0 0 0
"23" 1030 895 895 895 895 895 500 0 0 0 0 0
"24" 1085 895 895 895 895 895 525 0 0 0 0 0
"25" 1100 895 895 895 895 895 525 0 0 0 0 0
"26" 1080 935 910 905 895 895 1100 1175 1350 1725 0 0
"27" 1010 895 895 895 895 895 675 0 0 0 0 0
"28" 990 895 895 895 895 895 300 0 0 0 0 0
"29" 1065 895 895 895 895 895 375 0 0 0 0 0
"30" 1040 895 895 895 895 895 175 0 0 0 0 0
"31" 1065 905 900 895 895 895 850 925 1850 0 0 0
"32" 1030 895 895 895 895 895 425 0 0 0 0 0
"33" 990 900 895 895 895 895 1025 1175 0 0 0 0
"34" 1030 980 910 900 895 895 1050 1425 1550 1650 0 0
"35" 1090 895 895 895 895 895 475 0 0 0 0 0
"36" 1085 905 895 895 895 895 1175 2150 0 0 0 0
"37" 1085 895 895 895 895 895 275 0 0 0 0 0
"38" 990 895 895 895 895 895 425 0 0 0 0 0
"39" 1090 900 895 895 895 895 2025 2050 0 0 0 0
"40" 1100 1015 925 895 895 895 1925 2050 2275 0 0 0
"41" 1080 1075 1015 905 895 895 1125 1725 1750 2400 0 0
"42" 1025 895 895 895 895 895 300 0 0 0 0 0
"43" 1055 900 895 895 895 895 625 650 0 0 0 0
"44" 1025 995 915 905 900 895 1825 1850 2175 2250 2350 0
"45" 1060 965 905 900 895 895 1225 1375 1450 1775 0 0
"46" 1080 895 895 895 895 895 675 0 0 0 0 0
"47" 1025 895 895 895 895 895 650 0 0 0 0 0
"48" 1025 945 940 920 910 895 1375 1400 1550 1875 2350 0
"49" 1085 940 920 910 895 895 1075 1175 1575 2000 0 0
"50" 1080 945 920 905 895 895 1025 1150 1500 1950 0 0
"51" 1015 910 900 895 895 895 2000 2200 2325 0 0 0
"52" 1090 905 895 895 895 895 1050 1525 0 0 0 0
"53" 1020 985 910 905 900 895 1425 1450 1650 1750 1875 0
"54" 1060 965 960 895 895 895 1125 2075 2100 0 0 0
"55" 1030 950 905 900 895 895 1300 1350 1425 1700 0 0
"56" 1055 980 910 900 895 895 1200 1350 1375 1950 0 0
"57" 1035 980 915 905 900 895 1000 1075 1325 1475 1525 0
"58" 1020 895 895 895 895 895 300 0 0 0 0 0
"59" 1070 895 895 895 895 895 525 0 0 0 0 0
"60" 1020 910 905 895 895 895 2100 2300 2325 0 0 0
"61" 1060 970 905 900 895 895 1325 1400 1525 1825 0 0
"62" 1005 895 895 895 895 895 300 0 0 0 0 0
"63" 1065 1040 1000 900 895 895 500 1675 1800 2400 0 0
"64" 1080 990 945 930 915 895 1175 1200 1300 1350 1400 0
"65" 985 910 905 895 895 895 1575 1725 1825 0 0 0
"66" 980 895 895 895 895 895 650 0 0 0 0 0
"67" 1015 895 895 895 895 895 25 0 0 0 0 0
"68" 1070 990 910 900 895 895 1075 1125 1175 1825 0 0
"69" 1025 905 895 895 895 895 900 925 0 0 0 0
"70" 1085 900 895 895 895 895 1025 1525 0 0 0 0
"71" 1035 975 915 905 895 895 975 1050 1325 1475 0 0
"72" 1055 895 895 895 895 895 125 0 0 0 0 0
"73" 1025 900 895 895 895 895 575 600 0 0 0 0
"74" 1040 900 895 895 895 895 675 725 0 0 0 0
"75" 1010 900 895 895 895 895 750 775 0 0 0 0
"76" 1075 965 940 925 895 895 1325 1475 1525 1600 0 0
"77" 990 895 895 895 895 895 675 0 0 0 0 0
"78" 975 895 895 895 895 895 2025 0 0 0 0 0
"79" 1100 915 905 895 895 895 975 1175 1375 0 0 0
"80" 1050 965 905 900 895 895 1325 1400 1525 1825 0 0
"81" 1080 995 910 905 900 895 875 900 950 975 1775 0
"82" 1070 970 915 910 905 895 1125 1225 1350 1400 1550 0
"83" 1005 895 895 895 895 895 425 0 0 0 0 0
"84" 1050 935 915 905 895 895 1025 1150 1500 1950 0 0
"85" 1095 1090 1070 930 925 895 375 625 950 1000 1300 0
"86" 1000 975 900 895 895 895 700 775 800 0 0 0
"87" 1090 1020 905 895 895 895 1675 1750 2300 0 0 0
"88" 1005 895 895 895 895 895 750 0 0 0 0 0
"89" 1025 905 900 895 895 895 1400 1450 1750 0 0 0
"90" 1075 895 895 895 895 895 625 0 0 0 0 0
"91" 1010 895 895 895 895 895 375 0 0 0 0 0
"92" 1010 895 895 895 895 895 1550 0 0 0 0 0
"93" 1090 1030 895 895 895 895 875 900 0 0 0 0
"94" 1100 895 895 895 895 895 475 0 0 0 0 0
"95" 1010 1000 915 905 895 895 1000 1100 1150 1500 0 0
"96" 1025 895 895 895 895 895 425 0 0 0 0 0
"97" 1095 1025 900 895 895 895 1700 1775 2325 0 0 0
"98" 1075 990 920 910 905 895 1275 1300 1475 1525 1625 0
"99" 1060 920 895 895 895 895 975 1050 0 0 0 0
"100" 1015 915 905 900 895 895 1800 1900 2175 2275 0 0
"101" 1065 905 900 895 895 895 1275 1400 1925 0 0 0
"102" 1095 900 895 895 895 895 950 1675 0 0 0 0
"103" 1090 895 895 895 895 895 1575 0 0 0 0 0
"104" 1045 920 895 895 895 895 1000 1025 0 0 0 0
"105" 1035 1020 920 905 895 895 1025 1100 1250 1550 0 0
"106" 1070 980 900 895 895 895 1275 1325 1400 0 0 0
"107" 1030 895 895 895 895 895 825 0 0 0 0 0
"108" 1010 895 895 895 895 895 1100 0 0 0 0 0
"109" 1030 935 895 895 895 895 1525 1575 0 0 0 0
"110" 1005 895 895 895 895 895 775 0 0 0 0 0
"111" 1075 955 930 910 895 895 1475 1525 1550 1575 0 0
"112" 1030 895 895 895 895 895 575 0 0 0 0 0
"113" 1055 895 895 895 895 895 475 0 0 0 0 0
"114" 1000 895 895 895 895 895 475 0 0 0 0 0
"115" 1010 925 895 895 895 895 1050 1075 0 0 0 0
"116" 1010 895 895 895 895 895 800 0 0 0 0 0
"117" 1090 895 895 895 895 895 375 0 0 0 0 0
"118" 1060 895 895 895 895 895 775 0 0 0 0 0
"119" 1000 950 900 895 895 895 1125 1250 1325 0 0 0
"120" 1030 905 895 895 895 895 800 825 0 0 0 0
"121" 1025 900 895 895 895 895 900 1400 0 0 0 0
"122" 1030 895 895 895 895 895 1000 0 0 0 0 0
"123" 1010 895 895 895 895 895 1750 0 0 0 0 0
"124" 1030 900 895 895 895 895 1875 1925 0 0 0 0
"125" 1060 895 895 895 895 895 675 0 0 0 0 0
"126" 1100 910 895 895 895 895 2125 2300 0 0 0 0
"127" 1085 1000 930 920 895 895 1100 1200 1250 1825 0 0
"128" 1090 1005 915 910 905 900 900 925 1025 1050 1175 1800
