"radius" "n_nodes" "distance_fnc" "neighbor_fnc" "toroidal"
"1" 0.0118436485063285 23 "manhattan" "bubble" 1
"2" 0.385515500791371 22 "euclidean" "bubble" 0
"3" 0.969133404549211 21 "sumofsquares" "bubble" 1
"4" 0.14547422924079 11 "manhattan" "gaussian" 0
"5" 0.262699774000794 7 "manhattan" "bubble" 0
"6" 0.180781596340239 14 "euclidean" "gaussian" 0
"7" 0.837843481916934 20 "manhattan" "gaussian" 1
"8" 0.0449148309417069 15 "sumofsquares" "gaussian" 0
"9" 0.52227702899836 11 "euclidean" "gaussian" 1
"10" 0.562543802428991 4 "euclidean" "bubble" 1
"11" 0.863853870425373 11 "euclidean" "bubble" 1
"12" 0.710763476788998 6 "manhattan" "bubble" 0
"13" 0.92895639850758 15 "manhattan" "bubble" 1
"14" 0.410030665807426 11 "euclidean" "gaussian" 0
"15" 0.491904298309237 17 "euclidean" "bubble" 1
"16" 0.414259636774659 22 "manhattan" "bubble" 1
"17" 0.494773441692814 16 "manhattan" "gaussian" 0
"18" 0.639327509794384 10 "manhattan" "bubble" 0
"19" 0.854817785322666 9 "euclidean" "bubble" 1
"20" 0.0958732089493424 16 "euclidean" "bubble" 0
"21" 0.151424841722474 13 "manhattan" "gaussian" 1
"22" 0.97966947616078 18 "sumofsquares" "bubble" 0
"23" 0.107528871390969 10 "manhattan" "bubble" 0
"24" 0.267998781288043 16 "euclidean" "bubble" 0
"25" 0.746597494697198 7 "sumofsquares" "bubble" 1
"26" 0.77106821956113 8 "euclidean" "bubble" 1
"27" 0.0439486564137042 18 "euclidean" "gaussian" 0
"28" 0.571688488591462 13 "euclidean" "gaussian" 1
"29" 0.860711985966191 22 "euclidean" "bubble" 1
"30" 0.448901033960283 24 "euclidean" "gaussian" 0
"31" 0.788228870602325 17 "euclidean" "gaussian" 1
"32" 0.357682359404862 7 "euclidean" "bubble" 1
"33" 0.236045516561717 19 "manhattan" "gaussian" 0
"34" 0.227369668427855 14 "euclidean" "gaussian" 0
"35" 0.938556931447238 15 "euclidean" "bubble" 1
"36" 0.329371453961357 10 "manhattan" "bubble" 0
"37" 0.177993841469288 13 "euclidean" "gaussian" 1
"38" 0.575709327822551 5 "sumofsquares" "bubble" 0
"39" 0.423405893845484 13 "manhattan" "gaussian" 1
"40" 0.175355384824798 15 "sumofsquares" "gaussian" 0
"41" 0.797948661493137 23 "sumofsquares" "bubble" 0
"42" 0.487519924528897 20 "euclidean" "gaussian" 1
"43" 0.145768956048414 14 "sumofsquares" "gaussian" 0
"44" 0.0279057265724987 15 "sumofsquares" "bubble" 0
"45" 0.91861576307565 15 "manhattan" "bubble" 0
"46" 0.030148709891364 14 "euclidean" "bubble" 1
"47" 0.90030771214515 8 "manhattan" "gaussian" 0
"48" 0.800873607164249 24 "sumofsquares" "bubble" 0
"49" 0.0590955892112106 10 "manhattan" "bubble" 0
"50" 0.806831742404029 20 "sumofsquares" "gaussian" 1
"51" 0.0869860174134374 25 "euclidean" "bubble" 1
"52" 0.251187331043184 16 "euclidean" "bubble" 1
"53" 0.347439907491207 10 "manhattan" "gaussian" 0
"54" 0.388625378254801 21 "sumofsquares" "gaussian" 1
"55" 0.552887486293912 16 "manhattan" "gaussian" 1
"56" 0.893148759379983 19 "euclidean" "gaussian" 1
"57" 0.722369956318289 5 "euclidean" "gaussian" 1
