"x_dim" "y_dim" "radius" "dist_fnc" "neighbor_fnc" "toroidal"
"1" "7" "3" "0" "manhattan" "bubble" "1"
"2" "6" "3" "1.73205080756888" "euclidean" "bubble" "0"
"3" "6" "3" "5" "sumofsquares" "bubble" "1"
"4" "5" "2" "1" "manhattan" "gaussian" "0"
"5" "4" "2" "1" "manhattan" "bubble" "0"
"6" "5" "3" "1" "euclidean" "gaussian" "0"
"7" "6" "3" "3.60555127546399" "manhattan" "gaussian" "1"
"8" "5" "3" "0" "sumofsquares" "gaussian" "0"
"9" "5" "2" "1.73205080756888" "euclidean" "gaussian" "1"
"10" "3" "1" "1" "euclidean" "bubble" "1"
"11" "5" "2" "3" "euclidean" "bubble" "1"
"12" "3" "2" "1.73205080756888" "manhattan" "bubble" "0"
"13" "5" "3" "3.60555127546399" "manhattan" "bubble" "1"
"14" "5" "2" "1" "euclidean" "gaussian" "0"
"15" "6" "3" "2" "euclidean" "bubble" "1"
"16" "6" "3" "1.73205080756888" "manhattan" "bubble" "1"
"17" "6" "3" "2" "manhattan" "gaussian" "0"
"18" "4" "2" "1.73205080756888" "manhattan" "bubble" "0"
"19" "4" "2" "2.64575131106459" "euclidean" "bubble" "1"
"20" "6" "3" "1" "euclidean" "bubble" "0"
"21" "5" "3" "1" "manhattan" "gaussian" "1"
"22" "6" "3" "5.29150262212918" "sumofsquares" "bubble" "0"
"23" "4" "2" "0" "manhattan" "bubble" "0"
"24" "6" "3" "1" "euclidean" "bubble" "0"
"25" "4" "2" "2" "sumofsquares" "bubble" "1"
"26" "4" "2" "2" "euclidean" "bubble" "1"
"27" "6" "3" "0" "euclidean" "gaussian" "0"
"28" "5" "3" "2" "euclidean" "gaussian" "1"
"29" "6" "3" "4" "euclidean" "bubble" "1"
"30" "7" "4" "2.64575131106459" "euclidean" "gaussian" "0"
"31" "6" "3" "3.46410161513775" "euclidean" "gaussian" "1"
"32" "4" "2" "1" "euclidean" "bubble" "1"
"33" "6" "3" "1" "manhattan" "gaussian" "0"
"34" "5" "3" "1" "euclidean" "gaussian" "0"
"35" "5" "3" "3.69893805399181" "euclidean" "bubble" "1"
"36" "4" "2" "1" "manhattan" "bubble" "0"
"37" "5" "3" "1" "euclidean" "gaussian" "1"
"38" "3" "2" "1" "sumofsquares" "bubble" "0"
"39" "5" "3" "1.73205080756888" "manhattan" "gaussian" "1"
"40" "5" "3" "1" "sumofsquares" "gaussian" "0"
"41" "7" "3" "4" "sumofsquares" "bubble" "0"
"42" "6" "3" "2" "euclidean" "gaussian" "1"
"43" "5" "3" "1" "sumofsquares" "gaussian" "0"
"44" "5" "3" "0" "sumofsquares" "bubble" "0"
"45" "5" "3" "3.60555127546399" "manhattan" "bubble" "0"
