"","Year","Scenario","TraceNumber","CNF_LF","ID"
"1",2017,"ObsRes",1,18.72376,1
"2",2018,"ObsRes",1,20.892589,2
"3",2019,"ObsRes",1,11.711022,3
"4",2020,"ObsRes",1,22.198132,4
"5",2021,"ObsRes",1,14.596645,5
"6",2022,"ObsRes",1,15.650022,6
"7",2023,"ObsRes",1,18.623405,7
"8",2024,"ObsRes",1,14.53638,8
"9",2025,"ObsRes",1,21.354813,9
"10",2026,"ObsRes",1,13.623272,10
"11",2027,"ObsRes",1,20.142885,11
"12",2028,"ObsRes",1,22.942804,12
"13",2029,"ObsRes",1,15.865937,13
"14",2030,"ObsRes",1,12.651367,14
"15",2031,"ObsRes",1,22.287631,15
"16",2032,"ObsRes",1,22.526783,16
"17",2033,"ObsRes",1,18.447196,17
"18",2034,"ObsRes",1,19.024047,18
"19",2035,"ObsRes",1,13.877797,19
"20",2036,"ObsRes",1,14.430703,20
"21",2037,"ObsRes",1,15.21373,21
"22",2038,"ObsRes",1,19.539212,22
"23",2039,"ObsRes",1,16.954335,23
"24",2040,"ObsRes",1,21.829584,24
"25",2041,"ObsRes",1,14.62104,25
"26",2042,"ObsRes",1,8.474133,26
"27",2043,"ObsRes",1,17.422186,27
"28",2044,"ObsRes",1,12.183502,28
"29",2045,"ObsRes",1,6.17819,29
"30",2046,"ObsRes",1,12.630349,30
"31",2047,"ObsRes",1,14.648871,31
"32",2048,"ObsRes",1,14.306056,32
"33",2049,"ObsRes",1,18.148319,33
"34",2050,"ObsRes",1,11.164062,34
"35",2051,"ObsRes",1,9.931656,35
"36",2052,"ObsRes",1,20.116677,36
"37",2053,"ObsRes",1,17.225136,37
"38",2054,"ObsRes",1,13.731401,38
"39",2055,"ObsRes",1,15.369422,39
"40",2056,"ObsRes",1,14.140528,40
"41",2057,"ObsRes",1,11.095455,41
"42",2058,"ObsRes",1,16.439485,42
"43",2059,"ObsRes",1,15.139293,43
"44",2060,"ObsRes",1,16.933581,44
"45",2017,"ObsRes",2,20.892589,45
"46",2018,"ObsRes",2,11.711022,46
"47",2019,"ObsRes",2,22.198132,47
"48",2020,"ObsRes",2,14.596645,48
"49",2021,"ObsRes",2,15.650022,49
"50",2022,"ObsRes",2,18.623405,50
"51",2023,"ObsRes",2,14.53638,51
"52",2024,"ObsRes",2,21.354813,52
"53",2025,"ObsRes",2,13.623272,53
"54",2026,"ObsRes",2,20.142885,54
"55",2027,"ObsRes",2,22.942804,55
"56",2028,"ObsRes",2,15.865937,56
"57",2029,"ObsRes",2,12.651367,57
"58",2030,"ObsRes",2,22.287631,58
"59",2031,"ObsRes",2,22.526783,59
"60",2032,"ObsRes",2,18.447196,60
"61",2033,"ObsRes",2,19.024047,61
"62",2034,"ObsRes",2,13.877797,62
"63",2035,"ObsRes",2,14.430703,63
"64",2036,"ObsRes",2,15.21373,64
"65",2037,"ObsRes",2,19.539212,65
"66",2038,"ObsRes",2,16.954335,66
"67",2039,"ObsRes",2,21.829584,67
"68",2040,"ObsRes",2,14.62104,68
"69",2041,"ObsRes",2,8.474133,69
"70",2042,"ObsRes",2,17.422186,70
"71",2043,"ObsRes",2,12.183502,71
"72",2044,"ObsRes",2,6.17819,72
"73",2045,"ObsRes",2,12.630349,73
"74",2046,"ObsRes",2,14.648871,74
"75",2047,"ObsRes",2,14.306056,75
"76",2048,"ObsRes",2,18.148319,76
"77",2049,"ObsRes",2,11.164062,77
"78",2050,"ObsRes",2,9.931656,78
"79",2051,"ObsRes",2,20.116677,79
"80",2052,"ObsRes",2,17.225136,80
"81",2053,"ObsRes",2,13.731401,81
"82",2054,"ObsRes",2,15.369422,82
"83",2055,"ObsRes",2,14.140528,83
"84",2056,"ObsRes",2,11.095455,84
"85",2057,"ObsRes",2,16.439485,85
"86",2058,"ObsRes",2,15.139293,86
"87",2059,"ObsRes",2,16.933581,87
"88",2060,"ObsRes",2,13.140416,88
"89",2017,"ObsRes",3,11.711022,89
"90",2018,"ObsRes",3,22.198132,90
"91",2019,"ObsRes",3,14.596645,91
"92",2020,"ObsRes",3,15.650022,92
"93",2021,"ObsRes",3,18.623405,93
"94",2022,"ObsRes",3,14.53638,94
"95",2023,"ObsRes",3,21.354813,95
"96",2024,"ObsRes",3,13.623272,96
"97",2025,"ObsRes",3,20.142885,97
"98",2026,"ObsRes",3,22.942804,98
"99",2027,"ObsRes",3,15.865937,99
"100",2028,"ObsRes",3,12.651367,100
"101",2029,"ObsRes",3,22.287631,101
"102",2030,"ObsRes",3,22.526783,102
"103",2031,"ObsRes",3,18.447196,103
"104",2032,"ObsRes",3,19.024047,104
"105",2033,"ObsRes",3,13.877797,105
"106",2034,"ObsRes",3,14.430703,106
"107",2035,"ObsRes",3,15.21373,107
"108",2036,"ObsRes",3,19.539212,108
"109",2037,"ObsRes",3,16.954335,109
"110",2038,"ObsRes",3,21.829584,110
"111",2039,"ObsRes",3,14.62104,111
"112",2040,"ObsRes",3,8.474133,112
"113",2041,"ObsRes",3,17.422186,113
"114",2042,"ObsRes",3,12.183502,114
"115",2043,"ObsRes",3,6.17819,115
"116",2044,"ObsRes",3,12.630349,116
"117",2045,"ObsRes",3,14.648871,117
"118",2046,"ObsRes",3,14.306056,118
"119",2047,"ObsRes",3,18.148319,119
"120",2048,"ObsRes",3,11.164062,120
"121",2049,"ObsRes",3,9.931656,121
"122",2050,"ObsRes",3,20.116677,122
"123",2051,"ObsRes",3,17.225136,123
"124",2052,"ObsRes",3,13.731401,124
"125",2053,"ObsRes",3,15.369422,125
"126",2054,"ObsRes",3,14.140528,126
"127",2055,"ObsRes",3,11.095455,127
"128",2056,"ObsRes",3,16.439485,128
"129",2057,"ObsRes",3,15.139293,129
"130",2058,"ObsRes",3,16.933581,130
"131",2059,"ObsRes",3,13.140416,131
"132",2060,"ObsRes",3,12.505894,132
"133",2017,"ObsRes",4,22.198132,133
"134",2018,"ObsRes",4,14.596645,134
"135",2019,"ObsRes",4,15.650022,135
"136",2020,"ObsRes",4,18.623405,136
"137",2021,"ObsRes",4,14.53638,137
"138",2022,"ObsRes",4,21.354813,138
"139",2023,"ObsRes",4,13.623272,139
"140",2024,"ObsRes",4,20.142885,140
"141",2025,"ObsRes",4,22.942804,141
"142",2026,"ObsRes",4,15.865937,142
"143",2027,"ObsRes",4,12.651367,143
"144",2028,"ObsRes",4,22.287631,144
"145",2029,"ObsRes",4,22.526783,145
"146",2030,"ObsRes",4,18.447196,146
"147",2031,"ObsRes",4,19.024047,147
"148",2032,"ObsRes",4,13.877797,148
"149",2033,"ObsRes",4,14.430703,149
"150",2034,"ObsRes",4,15.21373,150
"151",2035,"ObsRes",4,19.539212,151
"152",2036,"ObsRes",4,16.954335,152
"153",2037,"ObsRes",4,21.829584,153
"154",2038,"ObsRes",4,14.62104,154
"155",2039,"ObsRes",4,8.474133,155
"156",2040,"ObsRes",4,17.422186,156
"157",2041,"ObsRes",4,12.183502,157
"158",2042,"ObsRes",4,6.17819,158
"159",2043,"ObsRes",4,12.630349,159
